Page,Clicks,Impressions,CTR,Position
https://hackernoon.com/javascript-practical-coding-challenges-for-beginners-4bq3ugr,3613,33796,10.69%,9.23
https://hackernoon.com/how-taking-900mcg-of-lsd-permanently-accelerated-my-personal-growth-52935c848f9c,3605,68638,5.25%,18.57
https://hackernoon.com/10-soft-skills-every-developer-needs-66f0cdcfd3f7,3595,26870,13.38%,11.76
https://hackernoon.com/3-things-not-to-do-when-bitcoin-is-going-down-e80097d15796,3579,69817,5.13%,21.02
https://hackernoon.com/why-i-quit-my-medium-membership-909909657ba,3514,83682,4.20%,9.44
https://hackernoon.com/10-best-tools-for-instagram-automation-3e158f0c611f,3513,130784,2.69%,36.82
https://hackernoon.com/what-is-visa-provisioning-service-uo193w76,3510,37810,9.28%,4.61
https://hackernoon.com/is-hex-is-the-most-notorious-scam-in-the-history-of-cryptocurrencies-r9m53azs,3495,77432,4.51%,10.46
https://hackernoon.com/using-a-vpn-server-to-connect-to-your-aws-vpc-for-just-the-cost-of-an-ec2-nano-instance-3c81269c71c2,3489,50318,6.93%,38.81
https://hackernoon.com/why-i-no-longer-use-typescript-with-react-and-why-you-shouldnt-either-e744d27452b4,3486,36441,9.57%,19.43
https://hackernoon.com/writing-a-reverse-proxy-in-just-one-line-with-go-c1edfa78c84b,3485,42469,8.21%,15.92
https://hackernoon.com/asp-net-core-razor-pages-vs-mvc-which-will-create-better-web-apps-in-2018-bd137ae0acaa,3470,52149,6.65%,20.71
https://hackernoon.com/how-to-build-a-search-bar-in-react-with-react-hooks-o77l3yl7,3469,73943,4.69%,15.52
https://hackernoon.com/grayscales-gbtc-pump-effect-means-2021-will-start-slow-0gu340l,3462,129925,2.66%,7.2
https://hackernoon.com/what-you-need-to-start-crypto-trading-a-four-step-guide-49a2310d5dee,3458,104500,3.31%,23.12
https://hackernoon.com/how-to-properly-use-switch-case-statements-in-python-explained-with-examples-ivg536vx,3431,234445,1.46%,10.27
https://hackernoon.com/database-scaling-horizontal-and-vertical-scaling-85edd2fd9944,3430,80762,4.25%,13.1
https://hackernoon.com/want-a-complete-guide-for-xgboost-model-in-python-using-scikit-learn-sc11f31bq,3387,114870,2.95%,13.14
https://hackernoon.com/learn-blockchains-by-building-one-117428612f46,3363,48446,6.94%,10.08
https://hackernoon.com/kadanes-algorithm-explained-50316f4fd8a6,3338,72922,4.58%,6.46
https://hackernoon.com/u/padre-no-hay-más-que-uno-2-gratis,3337,31383,10.63%,9.96
https://hackernoon.com/getting-a-free-ssl-certificate-on-aws-a-how-to-guide-6ef29e576d22,3307,72834,4.54%,20.26
https://hackernoon.com/nodejs-vs-javascript-differences-and-similarities-6w1ws22pc,3284,41577,7.90%,8.38
https://hackernoon.com/5-best-oculus-quest-battery-packs-for-extended-play-sessions-9i8v34sk,3257,36128,9.02%,7.81
https://hackernoon.com/using-yarn-with-docker-c116ad289d56,3242,36806,8.81%,15.37
https://hackernoon.com/14-patterns-to-ace-any-coding-interview-question-c5bb3357f6ed,3242,26837,12.08%,13.84
https://hackernoon.com/using-enum-as-model-field-choice-in-django-92d8b97aaa63,3241,28644,11.31%,16.72
https://hackernoon.com/looking-to-invest-in-a-defi-project-here-are-5-ideas-worth-considering-dv363w6d,3233,24827,13.02%,7.19
https://hackernoon.com/top-5-technology-innovations-in-2020-you-have-to-be-ready-for-u386337y,3221,75996,4.24%,13.76
https://hackernoon.com/there-are-3-main-types-of-technical-debt-heres-how-to-manage-them-4a3328a4c50c,3193,155658,2.05%,8.68
https://hackernoon.com/generating-pdfs-in-javascript-for-fun-and-profit-c7af594cf697,3184,35923,8.86%,12.78
https://hackernoon.com/how-to-migrate-project-from-aspnet-mvc-to-aspnet-core-qt1ks31zn,3178,72563,4.38%,26.33
https://hackernoon.com/structuring-projects-and-naming-components-in-react-1261b6e18d76,3172,33024,9.61%,9.41
https://hackernoon.com/scaling-websockets-9a31497af051,3166,26557,11.92%,12.76
https://hackernoon.com/python-fundamentals-5-placeholders-in-python-strings-c6580f2053dd,3145,31384,10.02%,12.16
https://hackernoon.com/top-6-best-anonymous-browsers-why-privacy-matters-q7142bdq,3127,53211,5.88%,15.86
https://hackernoon.com/20-string-coding-interview-questions-for-programmers-6b6735b6d31c,3119,68190,4.57%,13.48
https://hackernoon.com/using-session-cookies-vs-jwt-for-authentication-sd2v3vci,3093,47055,6.57%,9.76
https://hackernoon.com/10-awesome-gift-ideas-for-programmers-and-geeks-6b3f4c5e799d,3086,59151,5.22%,13.74
https://hackernoon.com/api-testing-with-jest-d1ab74005c0a,3079,33225,9.27%,18.97
https://hackernoon.com/learn-c-multi-threading-in-5-minutes-8b881c92941f,3073,117206,2.62%,11.74
https://hackernoon.com/how-to-take-screenshots-in-the-browser-using-javascript-l92k3xq7,3064,28332,10.81%,8.99
https://hackernoon.com/another-reason-why-your-docker-containers-may-be-slow-d37207dec27f,3022,40419,7.48%,15.52
https://hackernoon.com/work-with-javascript-arrays-like-a-boss-97207a042e42,3002,207028,1.45%,20.99
https://hackernoon.com/eventual-vs-strong-consistency-in-distributed-databases-282fdad37cf7,2996,48643,6.16%,6.82
https://hackernoon.com/integrating-logging-using-nlog-in-aspnet-core-30-web-app-6f1v31be,2990,38929,7.68%,16.17
https://hackernoon.com/how-does-javascripts-math-random-generate-random-numbers-ef0de6a20131,2989,73788,4.05%,23
https://hackernoon.com/nginx-php-docker-how-to-get-php-page-up-with-local-domain-name-ho3x33f6,2979,31784,9.37%,20.96
https://hackernoon.com/how-to-build-a-multiplayer-browser-game-4a793818c29b,2965,47935,6.19%,23.44
https://hackernoon.com/deploy-website-to-remote-server-using-git-da6048805637,2963,31683,9.35%,19.87
https://hackernoon.com/10-best-multivendor-marketplace-software-and-scripts-2020-edition-389f3yrv,2953,117397,2.52%,26.45
https://hackernoon.com/7-ways-you-can-use-shopify-to-make-money-online-198b42c00724,2944,76111,3.87%,36.14
https://hackernoon.com/today-i-learned-dealing-with-json-datetime-when-unmarshal-in-golang-4b281444fb67,2942,43090,6.83%,22.42
https://hackernoon.com/how-to-set-up-a-secure-home-network-a3d0f829fd6c,2940,88509,3.32%,27.95
https://hackernoon.com/most-popular-technology-stack-to-choose-from-full-stack-vs-mean-stack-vs-mern-stack-in-2019-d12c0a17439a,2934,84221,3.48%,16.6
https://hackernoon.com/automating-instagram-api-with-python-gain-followers-u115322z,2927,65477,4.47%,17.19
https://hackernoon.com/how-to-use-new-material-date-picker-for-android-s7k32w0,2926,33352,8.77%,13.77
https://hackernoon.com/should-i-go-the-pros-and-cons-of-using-go-programming-language-8c1daf711e46,2918,144656,2.02%,12.66
https://hackernoon.com/how-to-dockerize-any-application-b60ad00e76da,2896,35437,8.17%,11.72
https://hackernoon.com/is-shared-database-in-microservices-actually-anti-pattern-8cc2536adfe4,2872,32910,8.73%,10.32
https://hackernoon.com/get-composer-to-run-on-docker-container-a-how-to-guide-y86g36z7,2863,48431,5.91%,9.17
https://hackernoon.com/why-2020s-alt-season-is-different-from-2017-vys3ee9,2854,41575,6.86%,6.79
https://hackernoon.com/the-ultimate-guide-to-bypassing-geo-restrictions-while-streaming-5d97d85f87b2,2850,91825,3.10%,26.18
https://hackernoon.com/how-to-create-a-habit-tracker-in-notion-b5143uzn,2824,39718,7.11%,17.52
https://hackernoon.com/3-best-dns-history-lookup-and-checker-resources-for-cybersecurity-8q2f3yyt,2811,67382,4.17%,8.71
https://hackernoon.com/gitlab-vs-github-key-differences-and-which-one-is-better-2020-update-rhaw3y3z,2794,35800,7.80%,7.9
https://hackernoon.com/you-are-more-exposed-than-you-think-how-to-crack-passwords-62f32c9f9aba,2792,41353,6.75%,15.39
https://hackernoon.com/20-user-experience-survey-questions-and-templates-for-inspiration-27d7ba4f94c7,2767,51540,5.37%,37.45
https://hackernoon.com/top-10-software-development-trends-for-2020-you-need-to-know-as293690,2751,46696,5.89%,15.84
https://hackernoon.com/a-beginners-guide-to-trading-on-gemini-2c76eda7d58,2727,123246,2.21%,26.96
https://hackernoon.com/java-vs-javascript-heres-what-you-need-to-know-9b1b708394e2,2725,274959,0.99%,3.99
https://hackernoon.com/how-to-profit-from-cryptocurrency-c58b93139db3,2724,94136,2.89%,38.99
